timestamp,open,high,low,close,volume
2008-04-14,0.6500,0.7000,0.6500,0.7000,109347
2008-04-11,0.7000,0.7000,0.6505,0.7000,151400
2008-04-10,0.6900,0.7000,0.6800,0.7000,86200
2008-04-09,0.6700,0.7000,0.6601,0.6947,205200
2008-04-08,0.6595,0.6795,0.6333,0.6795,120100
2008-04-07,0.6500,0.6595,0.6200,0.6595,115240
2008-04-04,0.6100,0.6500,0.6100,0.6500,175200
2008-04-03,0.6508,0.6508,0.6100,0.6100,411730
2008-04-02,0.6500,0.6699,0.6000,0.6508,146785
2008-04-01,0.6500,0.7000,0.6500,0.6900,117300
2008-03-31,0.6900,0.6900,0.6100,0.6800,100679
2008-03-28,0.6500,0.6700,0.6410,0.6600,56500
2008-03-27,0.6700,0.6700,0.6410,0.6410,45500
2008-03-26,0.6500,0.6800,0.6305,0.6700,121847
2008-03-25,0.6599,0.6700,0.6405,0.6500,60942
2008-03-24,0.6200,0.6700,0.6100,0.6550,135040
2008-03-20,0.6500,0.6500,0.6150,0.6150,83500
2008-03-19,0.6995,0.6995,0.6500,0.6500,138872
2008-03-18,0.7000,0.7000,0.6500,0.6550,25300
2008-03-17,0.6700,0.6701,0.6440,0.6700,26672
2008-03-14,0.6800,0.6800,0.6200,0.6700,127000
2008-03-13,0.6800,0.6800,0.6400,0.6450,78842
2008-03-12,0.6500,0.6900,0.6500,0.6800,338425
2008-03-11,0.6100,0.6800,0.6100,0.6400,123000
2008-03-10,0.6300,0.6899,0.6100,0.6101,69000
2008-03-07,0.7000,0.7000,0.6300,0.6500,125100
2008-03-06,0.6500,0.7400,0.6400,0.6500,93000
2008-03-05,0.6500,0.6700,0.6101,0.6700,112400
2008-03-04,0.6700,0.6700,0.5800,0.6400,78200
2008-03-03,0.6201,0.6700,0.6000,0.6350,176350
2008-02-29,0.5801,0.6425,0.5801,0.6400,181175
2008-02-28,0.5600,0.6200,0.5505,0.6000,134206
2008-02-27,0.5699,0.6000,0.5606,0.5900,284105
2008-02-26,0.5300,0.5599,0.5300,0.5500,190899
2008-02-25,0.5401,0.5402,0.5205,0.5306,151300
2008-02-22,0.5303,0.5601,0.5303,0.5450,105160
2008-02-21,0.5400,0.5500,0.5301,0.5500,65900
2008-02-20,0.5400,0.5700,0.5301,0.5301,111000
2008-02-19,0.5500,0.5600,0.5300,0.5300,40500
2008-02-15,0.5500,0.5700,0.5500,0.5699,64060
2008-02-14,0.6100,0.6100,0.5300,0.5500,113210
2008-02-13,0.5500,0.6000,0.5301,0.6000,73800
2008-02-12,0.5400,0.5600,0.5400,0.5600,122400
2008-02-11,0.5500,0.5700,0.5500,0.5500,88600
2008-02-08,0.6300,0.6300,0.5510,0.5600,92900
2008-02-07,0.6100,0.6300,0.5510,0.5510,218170
2008-02-06,0.6800,0.6800,0.6100,0.6110,219200
2008-02-05,0.6900,0.7400,0.6300,0.6800,286208
2008-02-04,0.6000,0.7300,0.6000,0.6890,457265
2008-02-01,0.5300,0.6000,0.5100,0.5900,146600
2008-01-31,0.5200,0.5700,0.5000,0.5300,79228
2008-01-30,0.5300,0.5300,0.5020,0.5200,52840
2008-01-29,0.5000,0.5201,0.4900,0.5200,173355
2008-01-28,0.4700,0.5199,0.4300,0.5000,484933
